ville,code_postal,prix,pays,agence_adresse_telephone,adresse,site,annonce_link,agence_nom,totm2,titre_annonce
,44500,,LA BAULE,,"19, Boulevard Hennecart ",residence_immobilier,,"
            BRETAGNE SUD SOTHEBY'S INTERNATIONAL REALTY        ",,
,06310,,BEAULIEU-SUR-MER,,38 Boulevard Marinoni,residence_immobilier,,"
            HAUSSMANN INTERNATIONAL         ",,
ST-RÉMY-DE-PROVENCE,,Prix : 1 050 000,,,,,http://www.residences-immobilier.com/fr/13/annonce-vente-maison-st-remy-de-provence-1650272.html,,173 , - annonce maison à vendre
BOUC-BEL-AIR,,Prix : 299 000,,,,,http://www.residences-immobilier.com/fr/13/annonce-vente-appartement-bouc-bel-air-1649928.html,,84 , - annonce appartement à vendre
MÉRINDOL,,Prix : 1 590 000,,,,,http://www.residences-immobilier.com/fr/84/annonce-vente-maison-merindol-1649701.html,,235 , - annonce maison à vendre
EZE,,Prix : 1 380 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-eze-1351804.html,,180 , - annonce maison à vendre
ROUSSILLON,,Prix : 460 000,,,,,http://www.residences-immobilier.com/fr/84/annonce-vente-maison-roussillon-1650246.html,,108 , - annonce maison à vendre
NICE,,Prix : 180 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-nice-1649688.html,,21 , - annonce appartement à vendre
PARIS  3EME,,Prix : 1 480 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris--3eme-1650129.html,,119 , - annonce appartement à vendre
MISSILLAC,,Prix : 1 980 000,,,,,http://www.residences-immobilier.com/fr/44/annonce-vente-maison-missillac-1585871.html,,600 , - annonce maison à vendre
CANNES,,Prix : 550 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-cannes-1649550.html,,78 , - annonce appartement à vendre
VILLEFRANCHE-SUR-MER,,,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-villefranche-sur-mer-1649579.html,,600 , - annonce maison à vendre
,83700,,ST-RAPHAËL,,"318, route de la Corniche",residence_immobilier,,"
            AZUR ASTORIA        ",,
,75018,,PARIS 18EME,,69 RUE CAULAINCOURT,residence_immobilier,,"
            PARIS MONTMARTRE TRANSACTIONS        ",,
